ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
9.247968226164436e-05,0.0001178390839821018,2.880878082206195e-05,3.603179298936784e-05,0.00016253478938188482,0.00018075344973148916,3.1433455046115374e-05,4.196980262125223e-05,sad
9.866622230725195e-05,0.00011623110803703467,4.7526850892176914e-05,5.271553546990556e-05,0.00010767787870976177,0.0001348998090586926,6.0504036605000723e-05,7.889082960599962e-05,sad
0.00010521094287468404,8.953416380842893e-05,1.194911179393305e-05,2.1026532149314223e-05,0.00015951799331333615,0.0001351939116116891,1.2332562175492146e-05,1.027793107723382e-05,sad
7.496102156492169e-05,6.976851039665315e-05,1.927664289211281e-05,1.8813581016514046e-05,0.00020613469134297502,0.00022605785127219295,3.423110946590242e-05,3.37268081146292e-05,sad
4.303345032240629e-05,4.94012545725756e-05,7.159474485616433e-05,5.9423062139084815e-05,0.00027948367220641555,0.00029120146204977365,9.143336369165053e-05,0.00014063899720381044,sad
7.840688841695131e-05,8.642469383074447e-05,6.839217228169941e-05,8.594756493596758e-05,7.445754812993884e-05,0.00011218701457085186,0.0001090285479032302,0.00013772078924224117,sad
7.912098772630888e-05,7.860610735913246e-05,7.689978240276189e-05,7.16124785175036e-05,0.00018161234692766845,0.00025904473982816975,9.081235155157264e-05,9.19795264487374e-05,sad
0.0005731535171099327,0.00036573729705221864,0.00028826831127832674,0.0002431686088755652,0.0003319555058078031,0.0002797529232896551,0.00015639809276141343,0.00019654465484963198,sad
0.00025824030416379676,0.00029369155734578205,0.00020081627833627732,0.00018473679612336782,0.0003404786705908333,0.00024371726255279644,0.0001597862210966319,0.00023848176513003121,sad
0.0002813422453202369,0.0003273362868766607,0.00021596531214287292,0.0002734571444326561,0.00014961831758495398,0.00019224681703140523,1.0619222934428375e-05,1.6719430326680462e-05,sad
3.705047678665266e-05,5.0994016106278244e-05,8.117069908929836e-05,0.00011646813951744513,0.00010178098087462624,0.00012437829465270585,5.811678716599157e-05,7.360165041356986e-05,sad
9.47814005672172e-05,0.00010550117811090734,7.158044746758076e-05,6.24925487611236e-05,0.00011356083366344483,8.149846892927048e-05,7.103624780382446e-05,9.704368021764463e-05,sad
9.631684732880877e-05,0.00011017657800073683,3.53499405361807e-05,4.696867213593806e-05,3.116302699362126e-05,3.462720219061222e-05,5.598499858279697e-05,5.105867770205127e-05,sad
0.00022946106201199965,0.00019213578373064846,0.00010245317695816812,9.083039390217872e-05,0.0001249842884831568,0.00010525783359651558,0.00012540569537108844,0.00013859869173802355,sad
0.00029705197414513283,0.0002166121507636124,4.0727841179472694e-05,3.437769363302114e-05,7.034404833532594e-05,8.426194555868949e-05,0.00033926383762977703,0.0004250694826169721,sad
3.187550929620569e-05,3.183204692430922e-05,1.5498404871500424e-05,1.697351105723915e-05,9.645813449011143e-05,0.0001105632336505933,5.83591786280394e-05,6.703927474385328e-05,sad
3.472998399382537e-05,4.688202215577138e-05,7.638818795555867e-05,9.267429966448912e-05,0.00018175130472309353,0.00020177092763727655,0.0001569674472795349,0.00014869996763192808,sad
9.673610440114535e-05,0.00010442069343274827,9.92873419709885e-06,8.18092751020029e-06,0.0001383035368696741,0.00017693180724130894,0.0002111127272645295,0.00017796025268066771,sad
4.019400613541316e-05,3.765164334285441e-05,2.5261868881211362e-05,2.8224664178186515e-05,2.667627029784234e-05,3.37808912473201e-05,6.696159988747288e-05,7.09155064017555e-05,sad
0.00011165488144987794,0.0001342272763529995,3.9786113213684977e-05,5.636633314856202e-05,3.825078117185223e-05,4.327584151779822e-05,4.7527191413058554e-05,7.675415657238581e-05,sad
8.34160184698763e-05,8.282788631777223e-05,1.5156556660525458e-05,2.3493806485985646e-05,3.353591227518135e-05,3.933239365580479e-05,1.869249263953065e-05,3.283953608897351e-05,sad
3.679916508269195e-05,2.7950756786299977e-05,4.94514273661865e-05,4.6809422084308225e-05,0.00022493648878021998,0.00016780663890731963,8.601814439581379e-05,0.00010867752806214873,sad
0.000494007009329213,0.00039193010075705875,4.5216776342311884e-05,3.8702936124674126e-05,0.0006644070767982118,0.00041996537100312336,9.030118417124286e-05,0.00013382890233497885,sad
0.00012303000662314595,9.956938731521126e-05,7.744364843477598e-05,9.793182046411683e-05,4.933787029013654e-05,5.598513713179097e-05,0.00011401446063139175,0.00014335950184425847,sad
8.041795794147979e-05,7.021888227855491e-05,0.00019633132684830873,0.00011739866968244537,0.00015271960953256087,0.0001461392058311707,8.930474974523296e-05,9.892178355420429e-05,sad
0.0001098310915568328,0.00013856005117488245,4.569372415673965e-05,6.952043287081338e-05,0.00010631558633448962,9.83813045954008e-05,7.440817950654717e-05,7.416545780383144e-05,sad
5.5439043157969544e-05,6.552584401657943e-05,3.5343866456952285e-05,3.75485444251407e-05,3.8162427175476556e-05,4.955727383968317e-05,3.530801440310204e-05,3.749645577896913e-05,sad
7.947603543095073e-05,8.953764022824201e-05,4.809373034070593e-05,4.300363555393394e-05,3.234239262497086e-05,3.8973043730011245e-05,9.271105586443766e-05,6.695619260132043e-05,sad
5.500984648085637e-05,4.3296359689122034e-05,2.574857911346403e-05,3.3367264351866055e-05,6.544870353029972e-05,7.921784954609773e-05,3.0220473889292023e-05,3.554627235901862e-05,sad
