ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
-0.015543838491232056,-0.010379656836586492,-0.014847247905436031,-0.013764378048164301,-0.005349858048560393,-0.003597583683828879,-0.01636349090733334,-0.01581140189924828,sad
-0.014654500054544021,-0.010610784945950927,-0.01247734984421402,-0.011658506484749443,-0.011221889172738137,-0.008538419176794909,-0.012731913834953309,-0.011176817426782976,sad
-0.013713671818552467,-0.014448164643262169,-0.016981853492066476,-0.015658386670123862,-0.005672784006161156,-0.008506728948688787,-0.018749627024714895,-0.019789586358254535,sad
-0.01806221196041427,-0.01728925074124216,-0.016054113523251756,-0.015937711939452783,-0.0006828073854846297,0.0012840700264443812,-0.016014000215970273,-0.016846119984495315,sad
-0.022651920599934743,-0.02021681028963101,-0.00943010966243814,-0.010811862532413868,0.007168664621955911,0.00830344426908301,-0.008868137154583147,-0.0034257573365470513,sad
-0.01756685561961196,-0.014895115307712365,-0.009835587925246064,-0.007463860953101971,-0.014777882624249145,-0.010985775144683045,-0.006670098307728857,-0.003792071126022645,sad
-0.017464201153829427,-0.01601894748606663,-0.0087584379489924,-0.009273278167671978,-0.0033077450256142923,0.004838483315956141,-0.00894571570061286,-0.009533833032626827,sad
0.053554836000389426,0.02525286955629211,0.018002967735951364,0.012381046506301912,0.012785390687548963,0.0070698378243465605,-0.0007525643675288797,0.003591910209789711,sad
0.008284875339136227,0.014897120356688352,0.006930650849490767,0.005005609429328511,0.01369773314849404,0.00318691230373937,-0.0003293100492230361,0.008856148395956543,sad
0.01160586640701344,0.019733164546531734,0.008848672617395022,0.016204155488088467,-0.0067324718975149776,-0.0023591468605820335,-0.018963662079103216,-0.018981004505609557,sad
-0.023511995583981902,-0.01998786907749259,-0.008217696454962864,-0.0036114633159895324,-0.011853108962546837,-0.009672136610222041,-0.01303013560637528,-0.01184075203963782,sad
-0.015212957814071039,-0.012153089372237084,-0.009431919857258324,-0.01042442280783323,-0.010592161866425982,-0.01429253668659456,-0.011416201019451622,-0.008898145178297907,sad
-0.014992231557956192,-0.011481054233667973,-0.014019070552398784,-0.01238389265562515,-0.019412244503253386,-0.01934302373418098,-0.013296444504469025,-0.014670502992534504,sad
0.004147750866383871,0.00029964206560070475,-0.005523118282613653,-0.006847535768212699,-0.00936936456659417,-0.011732410369124376,-0.004624219963850928,-0.0036818706899141816,sad
0.01386419910524683,0.003817839246220099,-0.013338173629786503,-0.013973163385246599,-0.015218202695636986,-0.013994765708886435,0.022091527865110604,0.03227793833086172,sad
