ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
8.9666275672203e-05,0.00011702470168106636,2.8752060071680193e-05,3.4609614711671776e-05,0.0001594685398856085,0.0001783480234678622,2.9172121521801876e-05,4.04412627313851e-05,sad
9.585283312467289e-05,0.00011541672442633775,4.7470131203528725e-05,5.129338092032061e-05,0.00010461146098116713,0.0001324942724775738,5.8242768821034325e-05,7.736234615376369e-05,sad
0.00010239757210676794,8.871975845365083e-05,1.1892390087230662e-05,1.9604332530693188e-05,0.0001564517345653067,0.00013278837573814026,1.0071185456331494e-05,8.749342743043643e-06,sad
7.21475656838064e-05,6.89540889431797e-05,1.9219921601045455e-05,1.739137825056858e-05,0.00020306857555660865,0.00022365253400466473,3.196978226821752e-05,3.219825562448732e-05,sad
4.021990460774389e-05,4.858681653041468e-05,7.153802653270448e-05,5.800091712914231e-05,0.0002764177813628858,0.0002887963015087266,8.917216585140691e-05,0.00013911060814007328,sad
7.559344223135717e-05,8.561028594337063e-05,6.8335453776582e-05,8.452545764995604e-05,7.139102852296351e-05,0.00010978142334590363,0.00010676738985281725,0.00013619239571771954,sad
7.630754354995227e-05,7.779169310368976e-05,7.684306438021642e-05,7.019035084370893e-05,0.00017854615593745264,0.00025663950192251453,8.855115230696931e-05,9.045106300393638e-05,sad
0.0005703414629765004,0.0003649231166588929,0.0002882116052451083,0.00024174672519396395,0.0003288897758821615,0.00027734773520501357,0.00015413704183270754,0.00019501635124350924,sad
0.00025542736396951335,0.00029287731827276625,0.000200759567342571,0.00018331482933831744,0.0003374129668035898,0.0002413119877713594,0.00015752517782985503,0.0002369535256291449,sad
0.0002785293701271183,0.0003265220752065463,0.0002159086020084559,0.0002720353038283044,0.0001465520284771143,0.0001898414184192239,8.357842340714464e-06,1.5190851838992097e-05,sad
3.423691423789627e-05,5.0179579361387e-05,8.111398130900945e-05,0.00011504607563869584,9.871454506173224e-05,0.00012197273275828449,5.585551398348829e-05,7.207315887627322e-05,sad
9.19680004540442e-05,0.00010468678576091556,7.152372914330991e-05,6.10704081166956e-05,0.00011049443397639021,7.909280387194311e-05,6.877500383744899e-05,9.551522451392957e-05,sad
9.350345153587133e-05,0.0001093621894587567,3.5293220156829123e-05,4.5546509412994406e-05,2.809637461326199e-05,3.222142436752602e-05,5.372372057945717e-05,4.953015170547535e-05,sad
0.00022664804084251823,0.0001913214619426611,0.0001023964603850721,8.94082935606707e-05,0.00012191792382895883,0.00010285222570092018,0.00012314457435603227,0.0001370702995554672,sad
0.0002942391431539566,0.0002157978489110943,4.0671121105168466e-05,3.2955513002816136e-05,6.727751611328354e-05,8.185628714990314e-05,0.0003370032002345092,0.0004235415283348255,sad
2.9061932186815107e-05,3.1017594572410306e-05,1.54416833661224e-05,1.555130567429186e-05,9.33916823533892e-05,0.00010815763851905367,5.609790599368129e-05,6.551077317528264e-05,sad
3.191641491597546e-05,4.606758206175038e-05,7.633146990399434e-05,9.12522019454383e-05,0.00017868511415902624,0.00019936555193878278,0.00015470639763836994,0.00014717159089022293,sad
9.392270978785763e-05,0.00010360630020272518,9.872012375795826e-06,6.758709622181094e-06,0.00013523721306225384,0.00017452637178334086,0.0002088518000677502,0.00017643192066635265,sad
3.738045243150093e-05,3.6837195730890364e-05,2.5205147929640302e-05,2.6802474796961362e-05,2.3609604157731185e-05,3.1375111388127295e-05,6.470034670666984e-05,6.938701075840825e-05,sad
0.00010884152881305785,0.00013341290739979077,3.972939308596369e-05,5.494418379124931e-05,3.518415052784856e-05,4.087008450213722e-05,4.5265894283194644e-05,7.522566985402282e-05,sad
8.060258637830508e-05,8.201347550087678e-05,1.5099835135756989e-05,2.2071610376395016e-05,3.046926717186316e-05,3.692662715275585e-05,1.6431130302746057e-05,3.131098224254401e-05,sad
3.398560182682817e-05,2.7136301273174562e-05,4.939470778670488e-05,4.5387259134874445e-05,0.00022187043065422736,0.00016540118149546376,8.37569343095683e-05,0.00010714909014198054,sad
0.0004911947325038797,0.0003911159416972026,4.516005652263076e-05,3.728076164595669e-05,0.0006613423664177438,0.00041756052025015993,8.803998377068327e-05,0.00013230050286130313,sad
0.00012021668599213787,9.875499013390471e-05,7.738693044307988e-05,9.650973022246733e-05,4.627127364744069e-05,5.357941069293029e-05,0.00011175331385614482,0.0001418311169390957,sad
7.76045174143652e-05,6.940446119189957e-05,0.00019627461560020525,0.00011597660712712353,0.00014965332993560187,0.00014373369629047976,8.704354709133197e-05,9.73933307213656e-05,sad
0.00010701773378847563,0.00013774568575062468,4.563700436411214e-05,6.809830222164964e-05,0.00010324916442808763,9.597568015583155e-05,7.214694316547359e-05,7.263696712837306e-05,sad
5.2625532348511795e-05,6.471141910754637e-05,3.528714607725616e-05,3.61263683046133e-05,3.5095796260513446e-05,4.7151531936276036e-05,3.304668964073493e-05,3.596790905112592e-05,sad
7.666259225358005e-05,8.872323487629537e-05,4.8037010684212495e-05,4.1581467191798195e-05,2.9275743861428725e-05,3.656727636241629e-05,9.044986091357302e-05,6.542769090575009e-05,sad
5.2196334463782184e-05,4.2481916674656844e-05,2.569185818950033e-05,3.19450822845987e-05,6.238215629546867e-05,7.681217900191684e-05,2.7959137621937346e-05,3.401772265011714e-05,sad
3.9704637339441115e-05,5.1511109022928145e-05,3.653629496732414e-05,3.3054790656244095e-05,9.338799996301837e-05,7.748149753909487e-05,2.7794898426445075e-05,3.5274436601589085e-05,sad
8.429432081251298e-05,8.186358220318293e-05,7.575821199206877e-05,7.245931345239211e-05,6.311141300586875e-05,5.643994499505064e-05,0.0001851933051664712,0.00016683882113818405,sad
7.441523230540528e-05,7.841152246644667e-05,0.0001062227521609045,0.00010884418747844887,0.00023695805864286794,0.00022369497900311277,0.0001985202863814967,0.0002101299316782695,sad
8.908471907757623e-05,0.00011836231561794454,0.0001984161008870073,0.00023763056884993516,0.0002060754182856928,0.0002271711733001008,7.671657216242318e-05,0.0001311266896872288,sad
6.167709845691174e-05,6.741682086075736e-05,3.913817471539156e-05,3.694513481045928e-05,0.00015426292570769082,0.00013282790943749126,2.935287353617055e-05,5.751178890723786e-05,sad
4.3578092056239884e-05,8.036181514871174e-05,3.9308448166865005e-05,6.0198910621237035e-05,0.00018381230059419788,0.00017264670662729833,4.990736576408513e-05,5.7523732075494854e-05,sad
9.159464692973774e-05,0.00010852255937029527,0.0001452883880936615,0.00013276948455137437,9.060167859639458e-05,8.308250977810723e-05,0.00019662025897895997,0.00028185137605634005,sad
0.00010315934705938985,9.970883167524237e-05,5.204953695895006e-05,5.374786036552859e-05,6.654097180304615e-05,6.602851277093498e-05,0.00013130566103050327,0.0001639436712830738,sad
3.537250009563542e-05,3.74764730317099e-05,2.927803461985322e-05,2.5050812183583993e-05,0.00013797072365193767,0.00011301268200164789,0.00011799110986579553,0.00012646260473822012,sad
0.00010301645258899932,0.00010700407800833194,3.394093151008297e-05,3.6360003003337675e-05,4.8371109503095564e-05,5.557057156154337e-05,0.00011040548975654277,0.00014980948904574912,sad
8.949366056448358e-05,8.2279427308872e-05,6.649076778251099e-05,7.34122950157032e-05,0.00020655560984522513,0.00019301325909940373,0.0003325217292329199,0.0003566593363238951,sad
4.0517064155000355e-05,4.427041172154166e-05,1.2195790179624906e-05,1.671571877136221e-05,3.668445616522846e-05,6.464942331779103e-05,2.2006902553212546e-05,2.545321319570714e-05,sad
8.779895514270905e-05,0.00010221054539144838,7.65210278990157e-05,9.811007364667655e-05,2.6651620292892767e-05,2.772708241893744e-05,0.00010621080869268016,0.00011178177951713855,sad
0.000288242594984531,0.00019494817161231045,0.00016987849542557168,0.00011928269931805258,0.00039380122324464715,0.00041552320894631674,0.00011446770109504907,0.00015406716888581703,sad
0.0003262378063590076,0.0001855655511175109,1.741221629463809e-05,1.7046667171218834e-05,8.758442166427916e-05,0.00011773897125329112,0.00034139120139387046,0.00041553757770392127,sad
0.00024244217610874282,0.0001981732777864458,0.00011332180565665742,0.00011595237679293238,0.00018346579638738942,0.00016655373781617258,7.282347249303054e-05,9.721986198442568e-05,sad
4.551932668767873e-05,5.340126227411566e-05,3.183312207432294e-05,3.229157608111094e-05,0.00020514760710460146,0.00023532162098424144,4.6152845894120653e-05,5.025485356211916e-05,sad
0.00010323285773092524,0.00012966087291542368,3.8888432797240853e-05,4.090203606751731e-05,0.0001549578938152313,0.0001722609341147519,0.00017674879626838468,0.00019442944446539914,sad
6.638046346269761e-05,9.099333494161707e-05,6.940390236369966e-05,0.00010876116836793821,4.381311896600213e-05,3.4238713481612414e-05,0.00010768873562038687,0.00012790263290055515,sad
6.470444605022037e-05,0.00010545198519983953,1.8401191186544907e-05,2.4821532743130072e-05,8.499147376036628e-05,8.02050374188907e-05,3.1247450741906995e-05,5.758615458328419e-05,sad
