ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R,CLASS
0.03377555054835548,0.04645146619034072,0.01873650666067785,0.022848271663616568,0.027935010800737462,0.030631727678316286,0.0022607162388185386,0.003058029166885053,sad
0.03637107574115992,0.045744355304202546,0.033033406721898,0.035153650111932395,0.018104965541942315,0.02254142831765302,0.005180203009498775,0.0065618341318655245,sad
0.03911687339015374,0.03400431656258897,0.005859057102176051,0.011780885939583124,0.027394418165697612,0.022593319021674888,0.00034246070165263134,5.047098299899486e-05,sad
0.02642570316236461,0.025312327890757637,0.011455840286219092,0.010148686137380371,0.03574786435565605,0.03862512068794562,0.0025416777686372263,0.002275769098915004,sad
0.013030685124156997,0.016355783261997596,0.05141651317455263,0.040100900659146656,0.048891583036491756,0.05011889315382155,0.008286359006846433,0.012421734407581977,sad
0.027871395610737704,0.0326369204407218,0.04897038171631901,0.059664499500941694,0.012152071929984973,0.018534040811934882,0.01005339993890814,0.01214479651122238,sad
0.028170991626271104,0.029198680195119932,0.05546851166267775,0.04909141233693828,0.03135360021462551,0.04444524313578031,0.008223992290043168,0.007803951286452105,sad
0.23543933008801035,0.155465239470862,0.21691222472184774,0.1756255584763429,0.05829423609868333,0.048098942186951744,0.014810606438767119,0.017727180567323142,sad
0.10331940978958577,0.1237829702164101,0.15011618376038044,0.13252817968524197,0.05982153857596141,0.0417409021547358,0.015150867806844695,0.021707011769691895,sad
0.11301168848368374,0.1385783125133159,0.16168704665092698,0.19796538379491627,0.025620452784397982,0.032659588078363944,0.0001703942695504457,0.0006617691752581923,sad
0.010520565020601485,0.017056203577959634,0.058730646530668146,0.08217546915437796,0.01704827511049717,0.020685039162441094,0.004940457439174234,0.006059891097540864,sad
0.034741222443277604,0.04102584550214972,0.05140559280001882,0.04236485280119701,0.019159157488619783,0.013119432123489618,0.0062379269906544885,0.00828453941110671,sad
0.03538540977942043,0.04308186267659174,0.02373265777919222,0.030914953171020314,0.004393940875693976,0.004849585416329188,0.0047263671722176884,0.003920563289983711,sad
